"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 24 08:09:09 UTC 2023","Fri Nov 24 08:09:10 UTC 2023","810","user_tests","CreateUserWithoutPasswordPositiveTest","api.user.create.CreateUserWithoutPasswordPositiveTest","api.user.create.CreateUserWithoutPasswordPositiveTest","createUserWithoutUserNamePositiveTest","createUserWithoutUserNamePositiveTest",""
"passed","Fri Nov 24 08:09:19 UTC 2023","Fri Nov 24 08:09:20 UTC 2023","836","user_tests","GetUserByUserNamePositiveTest","api.user.get.GetUserByUserNamePositiveTest","api.user.get.GetUserByUserNamePositiveTest","getUserByUserNamePositiveTest","getUserByUserNamePositiveTest",""
"passed","Fri Nov 24 08:08:16 UTC 2023","Fri Nov 24 08:08:16 UTC 2023","806","pet_tests","GetPetByIdNegativeTest","api.pet.get.GetPetByIdNegativeTest","api.pet.get.GetPetByIdNegativeTest","getPetByIdNegativeTest","getPetByIdNegativeTest",""
"passed","Fri Nov 24 08:08:37 UTC 2023","Fri Nov 24 08:08:38 UTC 2023","821","store_tests","CreateRandomOrderPositiveTest","api.store.create.CreateRandomOrderPositiveTest","api.store.create.CreateRandomOrderPositiveTest","createRandomOrderPositiveTest","createRandomOrderPositiveTest",""
"passed","Fri Nov 24 08:08:16 UTC 2023","Fri Nov 24 08:08:17 UTC 2023","819","pet_tests","GetPetByIdPositiveTest","api.pet.get.GetPetByIdPositiveTest","api.pet.get.GetPetByIdPositiveTest","getPetByIdPositiveTest","getPetByIdPositiveTest",""
"passed","Fri Nov 24 08:07:57 UTC 2023","Fri Nov 24 08:07:58 UTC 2023","856","pet_tests","CreatePetWithMinimumParamsPositiveTest","api.pet.create.CreatePetWithMinimumParamsPositiveTest","api.pet.create.CreatePetWithMinimumParamsPositiveTest","createPetWithMinimumParamsPositiveTest","createPetWithMinimumParamsPositiveTest",""
"passed","Fri Nov 24 08:09:11 UTC 2023","Fri Nov 24 08:09:12 UTC 2023","808","user_tests","CreateUserWithoutUserNamePositiveTest","api.user.create.CreateUserWithoutUserNamePositiveTest","api.user.create.CreateUserWithoutUserNamePositiveTest","createUserWithoutUserNamePositiveTest","createUserWithoutUserNamePositiveTest",""
"passed","Fri Nov 24 08:08:42 UTC 2023","Fri Nov 24 08:08:43 UTC 2023","804","store_tests","DeleteRandomOrderPositiveTest","api.store.delete.DeleteRandomOrderPositiveTest","api.store.delete.DeleteRandomOrderPositiveTest","deleteRandomOrderPositiveTest","deleteRandomOrderPositiveTest",""
"passed","Fri Nov 24 08:09:03 UTC 2023","Fri Nov 24 08:09:04 UTC 2023","836","user_tests","CreateUserWithoutFirstNamePositiveTest","api.user.create.CreateUserWithoutFirstNamePositiveTest","api.user.create.CreateUserWithoutFirstNamePositiveTest","createUserWithoutFirstNamePositiveTest","createUserWithoutFirstNamePositiveTest",""
"passed","Fri Nov 24 08:09:02 UTC 2023","Fri Nov 24 08:09:03 UTC 2023","847","user_tests","CreateUserWithoutEmailPositiveTest","api.user.create.CreateUserWithoutEmailPositiveTest","api.user.create.CreateUserWithoutEmailPositiveTest","createUserWithoutEmailPositiveTest","createUserWithoutEmailPositiveTest",""
